$C_S$,$C_T$
1.082362600472691,-6.799903018415896
1.0823362152519442,-6.7997698892382
1.082287629456303,-6.799949835269732
1.082326745907332,-6.79971530103998
1.08233605094237,-6.799861735148676
1.0823080272502652,-6.79986897520122
1.0823280235370356,-6.799840935511486
1.0823388896871171,-6.799704825536748
1.0822150304814318,-6.7999573114357155
1.08233317351956,-6.799734178897793
1.082348076237386,-6.799801907844924
1.0823808750702602,-6.799864654798506
1.0823555850967927,-6.799821079204882
1.082359522194116,-6.799750996766846
1.0823555377591392,-6.799728702893494
1.0823150681726543,-6.799922760997781
1.0823416867722468,-6.799744484355797
1.082302759486418,-6.800003135851466
1.0823135056406226,-6.799975089758423
1.082313796188838,-6.799912811153574
1.0823718367465192,-6.799841510177987
1.0823354381157877,-6.7995893088095425
1.082387526291963,-6.79984565984443
1.0823713235219563,-6.799770633580254
1.0822476397650334,-6.799907913033945
1.0823256614540595,-6.799829957127293
1.0823759919113412,-6.80017884334009
1.0823965251797265,-6.799755786513742
1.0823281263758002,-6.799798186164471
1.0823355004663295,-6.799743454511271
1.0823864037051043,-6.799710206200674
1.0823307382751417,-6.7999027379193295
1.0823431436060067,-6.7998531505907795
1.0823971907676555,-6.7996307402501515
1.0823248067160791,-6.7998337863309795
1.0823435532559011,-6.799801090942043
1.082353674114915,-6.799748846343386
1.0823734067898254,-6.7996644759146125
1.082310674066392,-6.799682547951735
1.0823688022880424,-6.799694716377212
1.0823937143103095,-6.799541309071888
1.0823644319717642,-6.799677703271327
1.082369779130447,-6.799690927037986
1.0823059553769496,-6.7998630301298775
1.082321648421186,-6.799775509608388
1.0823318195693654,-6.79969995341696
1.0823669498859565,-6.7997515508929744
1.082335659334199,-6.79986024649901
1.082322110575587,-6.799741039124058
1.0823128849798913,-6.8000187128504415
1.0823380511532654,-6.799770366507667
1.0823189089162977,-6.799746893340009
1.0823261293646176,-6.7998508937502375
1.0823599000894968,-6.799814452100515
1.082299099738547,-6.799965591890331
1.0822778895952745,-6.7999258835133
1.0823116182454802,-6.799909091308274
1.082296406990046,-6.799967278667021
1.0823727885193666,-6.7997701927166005
1.0823675026235506,-6.799799221842058
1.082330588214958,-6.799826551347486
1.0823411231829925,-6.7997199357949745
1.0823880997738249,-6.799700546516811
1.082394822662942,-6.799691291668183
1.0822827896031595,-6.799769315210629
1.082329813775971,-6.799784941215693
1.0823503516244564,-6.799828975167822
1.0824297854391534,-6.799557562433369
1.0823346953954298,-6.7998263675350055
1.0822855013089994,-6.799833946603437
1.0823410067350152,-6.79985670035765
1.0823154950352452,-6.79983729656089
1.0823620137718346,-6.799774870629671
1.0824041535502564,-6.799627092276888
1.0823290339160658,-6.7998190042159585
1.0827005307771276,-6.804313663601498
1.0823229165168555,-6.799784761216886
1.0823228388921835,-6.799811410858054
1.082319533347033,-6.7996605876306155
1.0823659545755837,-6.799818914019717
1.082374008958515,-6.799680244169204
1.0823601160772918,-6.799807457659901
1.0822932687794318,-6.799815953237772
1.08235668177869,-6.799800089243799
1.0822361571735826,-6.799940631517153
1.1009881763933922,-6.767798620143234
1.0823144493700534,-6.7998352042091295
1.0823707756238008,-6.7999759193089275
1.08237722958406,-6.799688929250239
1.082362538815716,-6.799719557743745
1.0823155522358154,-6.799790720282094
1.0823594340641711,-6.799896780618184
1.0823183286749145,-6.7998491878101905
1.0822885733846026,-6.799897020195192
1.1206336180642489,-6.797170183436322
1.082304346149877,-6.799900155241639
1.082339632489508,-6.799815157173887
1.0823138493590256,-6.799832120711953
1.082369707232742,-6.799528515411405
1.0823108563406303,-6.799779083610093
1.0823329109918574,-6.799757790706647
1.082333232534979,-6.799894382315333
1.0823616189847869,-6.799717863297451
1.0822367562311015,-6.799984174916487
1.0823175679222166,-6.799790654443807
1.0823169360958402,-6.799847003656417
1.1576989756411469,-6.8800793203124435
1.0824088218403167,-6.799556075543381
1.0822978265682286,-6.799866723179682
1.082425422458087,-6.7995493444599315
1.0823527295348618,-6.799759951465276
1.0823493172278251,-6.799955151206768
1.082303047730385,-6.799922109668375
1.0823630353396276,-6.799696522601408
1.0823156938062002,-6.799741549855071
1.0823067860941538,-6.799806182510815
1.082314874407268,-6.799675710911009
1.0824409557262047,-6.799516184465704
1.0823651644707266,-6.799704057334363
1.0822949923797054,-6.799760498066648
1.0823668744718995,-6.79977627050866
1.0823371397792754,-6.7998923017391215
1.082350690217123,-6.799864672405703
1.0822842314290342,-6.79975725643336
1.0823520475602204,-6.799736757106307
1.0823533406601322,-6.79975770748842
1.0823087061175405,-6.799961836059436
1.082305795772031,-6.799939827030347
1.0823733893795178,-6.799664640773934
1.082420755093755,-6.799803089603186
1.08229666920439,-6.7998492835625735
1.0822958374973497,-6.799871289700245
1.0822738294887224,-6.799859023697562
1.0823244065725246,-6.799676747892911
1.082361428272408,-6.799899905936395
1.0823289057805023,-6.799863346141894
1.0823584699268192,-6.799826995684482
1.0823422519365538,-6.79978037348528
1.0823402402002054,-6.799741047439781
1.0824376906475803,-6.799600492166264
1.0823269467568013,-6.799858061525159
1.0823912716582316,-6.799774336542135
1.0823858728781073,-6.799803250431122
1.082349133003106,-6.799805516309115
1.0823420866052162,-6.799696390033335
1.0823393118321891,-6.7998439867731975
1.0823144183412572,-6.799815910515211
1.082383121102751,-6.799802184647879
1.082325329173622,-6.7997093590763225
1.0817425854428813,-6.792106048935681
1.0823322563157576,-6.799921299033398
1.0824107808747945,-6.799773773124645
1.0823824220135776,-6.799699090669
1.0823539282701398,-6.799746167009054
1.0823032527864838,-6.799801976737089
1.082329734164709,-6.799846313506578
1.0822933425581298,-6.799915644133142
1.082300953571394,-6.799719625678262
1.082320216017031,-6.799827158735363
1.0823712986222225,-6.79974405386319
1.0823849600621769,-6.799611443710547
1.0824062252956954,-6.7997145947198
1.0823306939892103,-6.799798039740445
1.0823296597107606,-6.799835437530781
1.082404185736416,-6.799706272449019
1.082268588709561,-6.799982959536692
1.0823061959734843,-6.799771819558071
1.0823740986549997,-6.799618755118865
1.0823407000682523,-6.799760058082182
1.0823099183673937,-6.799857251048863
1.0823251684484227,-6.799811377742981
1.0824522810059831,-6.799901688353714
1.082382379785943,-6.799797986620266
1.0822820426822322,-6.799956894985023
1.082036625290069,-6.800685980261077
1.0823223164508415,-6.79987477530876
1.082341882871657,-6.799675510846182
1.082341175743866,-6.799813766242222
1.0832452517926547,-6.796338852802096
1.0824520538267846,-6.799647856448417
1.0823398000758766,-6.799828110789419
1.082350693461579,-6.799807433725002
1.082356613902851,-6.799872604008671
1.082407432361996,-6.799784935391703
1.0822727826054406,-6.799889136379794
1.082408308256035,-6.799585445563714
1.0823460830302034,-6.800001107719308
1.082318616917593,-6.799823702850281
1.0823745539715646,-6.799651487524278
1.0823291469442715,-6.799937378757058
1.0823708248898634,-6.799760653227725
1.082448215373384,-6.799448827444811
1.0823230954985228,-6.799702138813613
1.0823748507870763,-6.799805549318085
1.0823566137964686,-6.799637231976623
1.082436381662085,-6.799690269799349
1.0823829600232453,-6.799679131717898
1.0823908155613795,-6.799790738332505
1.0823803686741251,-6.7997109596917085
1.0823213666587772,-6.799896132018599
1.08232915156628,-6.799737421301229
1.0823890448243405,-6.799641362994569
1.082334540955253,-6.799901745402485
1.0824344567964514,-6.799721896589936
1.0824011824295154,-6.799717346393207
1.0823469459604629,-6.799742994180258
1.0823816760043714,-6.799708555180186
1.08236396779362,-6.799864108618248
1.0823809510901483,-6.799705762882052
1.0823835025703594,-6.799639606945846
1.0823806599628671,-6.799768919960121
1.0823435294879398,-6.799845129847724
1.0822801922273395,-6.799845065010226
1.082370530712175,-6.799852810045769
1.0823645100587196,-6.799717754415026
1.0823355273399378,-6.799801306594464
1.0823411409055317,-6.799776529394281
1.0823521564985152,-6.799858938078765
1.0822986100075875,-6.799856850241023
1.082337809505365,-6.799914011114934
1.0823064449108113,-6.799898383139801
1.082259322801329,-6.799921541286036
1.0823943219332766,-6.799727697122899
1.082378206890722,-6.799691619472282
1.082421583278545,-6.799721512445375
1.0823784537783978,-6.799765913451423
1.0823795531373193,-6.799926156128974
1.0822857260660668,-6.799929159524684
1.0823192599411564,-6.799747657035329
1.0823305740506688,-6.79986043551579
1.0824362445161586,-6.799727854407719
1.0824129583299795,-6.799751921242213
1.0823051285509355,-6.7998816365768375
1.0823253215550526,-6.799702434394945
1.0823199102112293,-6.799759843583315
1.0822612234863638,-6.799758354736877
1.0823301525618845,-6.799918978394409
1.0823513636227229,-6.799713442133264
1.082361704359363,-6.799855210038992
1.0824008063104265,-6.799612944542557
1.0823808415840648,-6.799755176302481
1.0822871939364418,-6.799868903061746
1.0824195299386112,-6.799620520504842
1.082297535454845,-6.799945829554056
1.082296643150622,-6.7999778177827395
1.0823532689851847,-6.799789519750537
1.082383378398398,-6.799772745269181
1.0823444330027676,-6.799660810032121
1.0823696936880405,-6.7997348539810245
1.0823262091281132,-6.799749500660779
1.0824164353089545,-6.799546101625255
1.0823123138264517,-6.799873081264517
1.0823019139925116,-6.800010589679713
1.082326179216854,-6.7998188284565515
1.0823820547045095,-6.79991501970928
1.082410670566878,-6.799693308503952
1.0823145715259193,-6.799781458925103
1.0823343771002003,-6.799828423094223
1.082358696893917,-6.799682223423091
1.0823632329181234,-6.799810667909853
1.0823870898044246,-6.799750046347018
1.082364950673604,-6.79980730480597
1.0823713255036929,-6.799635048668749
1.0823014486897802,-6.799858171946929
1.082312122319936,-6.79989898130872
1.082323004673348,-6.799888698132364
1.0823381759890247,-6.799659906248576
1.082345255302522,-6.799833253988378
1.082287966769505,-6.79986586721521
1.0823983194978215,-6.799468001928931
1.0823372990250362,-6.799805955495542
1.082313106400019,-6.7998170001693605
