$c0c0$,$c0c1$
-5.717491073841545,-10.04671705666746
-5.717538418910508,-10.046711408810069
-5.717529447701185,-10.046922705031571
-5.717558911041136,-10.046857328401098
-5.717758546048927,-10.046791459498571
-5.716957548003913,-10.04523696087073
-5.717293324363406,-10.046733381297669
-5.717315782697598,-10.046932958845398
-5.717299049866938,-10.04692195485796
-5.717124283020297,-10.046896590831697
-5.7173354221385875,-10.046868021611187
-5.717306853410814,-10.04676462220288
-5.717282377244071,-10.046897002061966
-5.717380628303193,-10.046947498935156
-5.717658215139864,-10.046685145452397
-5.717434179833065,-10.046934806320523
-5.717510290296576,-10.046774664979496
-5.717445461507366,-10.046770647392265
-5.717530162549208,-10.046964347399522
-5.717674768347751,-10.04692359462973
-5.717519332825989,-10.046752605083226
-5.7174503360656646,-10.04683645894275
-5.717443687801253,-10.04673866134545
-5.717625031900884,-10.046743672405858
-5.718123809855526,-10.046828169897465
-5.717283576202616,-10.046814415672005
-5.717505449885664,-10.046921251483852
-5.717283244224099,-10.046692006509712
-5.717554087402864,-10.046889210464792
-5.717562549693878,-10.046854087809391
-5.7174377616796885,-10.046856089259045
-5.71730407976351,-10.0468112723742
-5.717464381685343,-10.04672402013694
-5.717388904768009,-10.046586938450949
-5.717525304996582,-10.046976002053304
-5.717473071152734,-10.046751386253009
-5.717442560751265,-10.046982486966138
-5.717294555182984,-10.046908477502146
-5.717224297178135,-10.04692788791692
-5.717518279808096,-10.046953300003077
-5.717649676861784,-10.046800387287592
-5.717764232284733,-10.046906707135404
-5.717608233988754,-10.046940824022498
-5.717491301790551,-10.046825965319773
-5.717501750498914,-10.046921215022596
-5.7174680467531225,-10.04678971521353
-5.717618718492313,-10.04679843068517
-5.717293331393543,-10.04688188991652
-5.717501507479836,-10.04691333936811
-5.717519973282994,-10.046911635021871
-5.7171437089976145,-10.04686872841792
-5.7177377995482574,-10.046768900939304
-5.717369543091934,-10.046808105858252
-5.717327722048555,-10.046894967545873
-5.649812751676905,-10.28648382770584
-5.717436827806782,-10.046744453624845
-5.717478246009357,-10.046826295237423
-5.717465410564174,-10.046699539618771
-5.717472136877185,-10.046792440414718
-5.717337658248979,-10.046840037246088
-5.717338060760425,-10.047047874727166
-5.7176316664067075,-10.046783211417148
-5.717591542503903,-10.04677069999426
-5.717514394845368,-10.046740925045428
-5.717621625894367,-10.04680369749802
-5.71767669386368,-10.046987654585964
-5.717419479630035,-10.046924327560872
-5.717411593678426,-10.046809198917437
-5.717596603535096,-10.046922948886015
-5.7176285181307325,-10.046815611108531
-5.717605875558652,-10.047031415619887
-5.717419041567573,-10.046817139856692
-5.717580641020677,-10.04694385901809
-5.669636321687997,-10.051171935368314
-5.71757837841504,-10.046790322939334
-5.717485159175462,-10.0471339019138
-5.7173600662928905,-10.046848614818463
-5.717466716339179,-10.04700227277987
-5.717334919700181,-10.046790777524713
-5.717596430059909,-10.04674569499625
-5.7173117672263265,-10.0470327677573
-5.717367248710709,-10.04677477775612
-5.717305396111271,-10.04669657014433
-5.717398380841362,-10.046745359608169
-5.7174496908842265,-10.046884005410371
-5.717760095468805,-10.046670907303971
-5.7175091557093225,-10.046115789488969
-5.717661363265355,-10.046745742798612
-5.717449041075425,-10.046594726632058
-5.717225811946034,-10.046671873180289
-5.717451261826142,-10.046808262151725
-5.718364191925824,-10.046301208310636
-5.7171397237545305,-10.046874762226524
-5.717484904627947,-10.0468801772366
-5.717571421905075,-10.046684764136833
-5.717245248802318,-10.046727399505771
-5.717423857646073,-10.046906465657958
-5.717314125470626,-10.04691537722849
-5.717393908150712,-10.046702824841008
-5.71741239840417,-10.04685812710794
-5.717657798721263,-10.046781909494648
-5.717506204065484,-10.046811850337225
-5.717270031267543,-10.046745481455837
-5.717773223608406,-10.046695563699087
-5.717560343477029,-10.046794187468556
-5.7172671254326515,-10.046770833857456
-5.717520699504046,-10.04690590072479
-5.7173495574125095,-10.046791421279494
-5.717579900256119,-10.046828572873252
-5.717581501173982,-10.046982966085702
-5.717444879521846,-10.046980741894451
-5.717376557048562,-10.047022891081316
-5.717502039989996,-10.04678115964788
-5.717417667895136,-10.046963284009705
-5.717456684511027,-10.046787507880968
-5.717437924683257,-10.046887336909837
-5.717165856682967,-10.04688489028943
-5.717577695263059,-10.046955445384189
-5.7180689497353585,-10.04668040225173
-5.717455282416903,-10.046729867282597
-5.717310594629315,-10.04679016207784
-5.717512039431727,-10.046857360729934
-5.717257102022496,-10.047005095045444
-5.717310466533561,-10.046865578353152
-5.7174523497695136,-10.046855375744451
-5.717370914444031,-10.04694335518403
-5.717597290143544,-10.046733358203634
-5.717417673427699,-10.046826458570855
-5.717296572423493,-10.046860068723468
-5.717297584037679,-10.04675235290667
-5.71760085027495,-10.0467701215494
-5.717420773733088,-10.046842795772946
-5.717496996430459,-10.046685598073465
-5.717451516606026,-10.046764283424324
-5.717518392997699,-10.046773975292089
-5.7173704393042195,-10.046961628933866
-5.7175361292949685,-10.04673512875359
-5.7176634840431015,-10.046616078004968
-5.7173722332644985,-10.046944837100318
-5.717658073066574,-10.046410009670756
-5.717309492691099,-10.0467686673551
-5.717400494338806,-10.046852446944465
-5.7172446303580875,-10.04696159355002
-5.717494898050573,-10.046881329939849
-5.717348568000247,-10.046800066834535
-5.717280566565605,-10.046983332049171
-5.7174984696925835,-10.046870705736808
-5.717633975627947,-10.04691749322864
-5.717555230374223,-10.04691710569386
-5.71754618961681,-10.046888911408136
-5.717265217108677,-10.04667821134906
-5.717287954133425,-10.04687914067593
-5.717412363982005,-10.046842196338163
-5.71738164957494,-10.046951961272486
-5.7174191135707595,-10.04679889295008
-5.720547939368598,-10.05238304450132
-5.717247511298507,-10.046754630604925
