$c0c0$,$c0c1$
-4.385601585630421,-6.762090018660745
-4.385513683459099,-6.76218745220119
-4.385503726018334,-6.762121839491238
-4.385627840817628,-6.762127429174769
-4.384967621881056,-6.7609926987459
-4.385607982057185,-6.762140224849165
-4.385607862446392,-6.762191678854019
-4.385400077771077,-6.762148014979352
-4.385441242283423,-6.762166493690346
-4.385592981728903,-6.762229376115684
-4.385529130333748,-6.7622393090781125
-4.38564180927537,-6.7621303185839166
-4.3853344318974,-6.762121767967872
-4.3855948150047235,-6.762160505895638
-4.385604034089383,-6.762094280151376
-4.385531438937497,-6.762210530802681
-4.385543533866981,-6.762190661370999
-4.38560869481977,-6.7621937468482605
-4.385517485255351,-6.762054934133556
-4.385632386282452,-6.762139123871219
-4.385589640965437,-6.762191280060952
-4.385443787855769,-6.7621803910848985
-4.385515868032982,-6.7621513237261315
-4.385568812355491,-6.762172180033142
-4.385428635140189,-6.762067385231605
-4.3854937385919985,-6.762201931067591
-4.385567855458068,-6.762082156771351
-4.385612600903052,-6.76211188683
-4.385563842010422,-6.762196068198491
-4.385593378706366,-6.7621523342826215
-4.385625188926024,-6.762164884711974
-4.385435706958934,-6.762194419412974
-4.385485056999266,-6.7622914786887955
-4.385441825822707,-6.762218546310645
-4.385525468555135,-6.7621405950229985
-4.385609792255006,-6.76209136799352
-4.385550248692938,-6.762180414379267
-4.385591454267482,-6.762124913178891
-4.385446997033929,-6.762191645379485
-4.3856248513856855,-6.762231997656997
-4.385506177965988,-6.762225394815527
-4.385590063472616,-6.762159293449212
-4.38553562491533,-6.76215470266567
-4.3855146660389055,-6.762137500807443
-4.385534210532202,-6.762119666310661
-4.385619559124908,-6.762155183488617
-4.385556156341604,-6.762099868648803
-4.38550342102293,-6.762171302848843
-4.385771436047681,-6.762049653777767
-4.385513738016438,-6.762118976173827
-4.385550841320306,-6.762110918520238
-4.385575623809394,-6.762184129791114
-4.385410358200243,-6.762174112604562
-4.385691090012585,-6.762156718978672
-4.385482967345403,-6.762118643764979
-4.395062716719163,-6.814577147601967
-4.3855990190841,-6.762251846112426
-4.385587967856455,-6.762096387896558
-4.385516461391643,-6.762187696518148
-4.385622765843177,-6.762168966091403
-4.385561432385715,-6.762185977066128
-4.38552083871858,-6.762122495858151
-4.385570815903835,-6.762058269944604
-4.385734879388469,-6.762161683578259
-4.3855781815203105,-6.762160798560448
-4.385635974084926,-6.762109473797379
-4.385617061204118,-6.762279816171554
-4.385501518591654,-6.762189543716016
-4.385538295203068,-6.762114759339448
-4.385531341084082,-6.762235702148394
-4.385627765914904,-6.76205592866696
-4.385512580770109,-6.762102563239515
-4.38569851704417,-6.762081795154885
-4.38272077976403,-6.761661611398108
-4.385533291128299,-6.762133792803226
-4.3855191733920735,-6.76214293461932
-4.385646765835741,-6.762112321863081
-4.385560202844039,-6.7621397871411055
-4.385530049584298,-6.762187756404769
-4.385615486138396,-6.762065200901092
-4.385531599741545,-6.762137995461805
-4.3854619825154195,-6.762197037940707
-4.385571194688268,-6.762230869995552
-4.385601618471467,-6.762143731247056
-4.385508259989413,-6.76208015403688
-4.385591207346918,-6.762147255307048
-4.387145804832656,-6.761806935266103
-4.385633273976609,-6.762139053311557
-4.385534324636347,-6.762178549048159
-4.385548509665225,-6.762120819056039
-4.385648898900742,-6.7621622596435325
-4.38547311001753,-6.762058398958094
-4.376218499361466,-6.752881601600394
-4.385620473595717,-6.762141212860115
-4.385479419803548,-6.762111584014961
-4.385436080057083,-6.762067438101318
-4.385577107933741,-6.762107090571855
-4.385469520169045,-6.762083278044381
-4.3854334954510845,-6.762141969804222
-4.385538158144012,-6.762109410183464
-4.38563426423096,-6.76212720261247
